source,target,weight,interaction_type,depth
44196397,12858902,5.0,follow,1
44196397,317650146,5.0,follow,1
44196397,1944046369980727296,5.0,follow,1
44196397,8493552,5.0,follow,1
44196397,1887614345615441920,5.0,follow,1
44196397,2708715396,5.0,follow,1
44196397,1133510366422392833,5.0,follow,1
44196397,438223253,5.0,follow,1
44196397,1133393084807618560,5.0,follow,1
44196397,1805961360687415296,5.0,follow,1
44196397,1881451105454002176,5.0,follow,1
44196397,15698507,5.0,follow,1
44196397,619309584,5.0,follow,1
44196397,1937236128010240001,5.0,follow,1
44196397,611941828,5.0,follow,1
44196397,1928879631526141952,5.0,follow,1
44196397,3474685637,5.0,follow,1
44196397,1209960539390201864,5.0,follow,1
44196397,1703837979788128256,5.0,follow,1
44196397,1145851147,5.0,follow,1
44196397,1980336629958180864,5.0,follow,1
44196397,218434058,5.0,follow,1
44196397,1722567099229601792,5.0,follow,1
44196397,1959113087094857729,5.0,follow,1
44196397,183339560,5.0,follow,1
44196397,1482820113808121866,5.0,follow,1
44196397,14232320,5.0,follow,1
44196397,234930762,5.0,follow,1
44196397,1238139979575984130,5.0,follow,1
44196397,605700792,5.0,follow,1
44196397,64844802,5.0,follow,1
44196397,121999927,5.0,follow,1
44196397,1937253135061229568,5.0,follow,1
44196397,1904142400554995714,5.0,follow,1
44196397,491719838,5.0,follow,1
44196397,47293791,5.0,follow,1
44196397,1886531809284173824,5.0,follow,1
44196397,1376251730183262210,5.0,follow,1
44196397,1676905146482315264,5.0,follow,1
44196397,1695126229446479872,5.0,follow,1
44196397,1520136498967990274,5.0,follow,1
44196397,1405410944608477185,5.0,follow,1
44196397,1072660589061791745,5.0,follow,1
44196397,1548488713440595968,5.0,follow,1
44196397,49573859,5.0,follow,1
44196397,7076492,5.0,follow,1
44196397,116551076,5.0,follow,1
44196397,56561449,5.0,follow,1
44196397,1911884791911231489,5.0,follow,1
44196397,369583954,5.0,follow,1
44196397,3131144855,5.0,follow,1
44196397,1648128136997904384,5.0,follow,1
44196397,1897072581301424128,5.0,follow,1
44196397,1316995857242378240,5.0,follow,1
44196397,1551266822460162051,5.0,follow,1
44196397,1270147489128017920,5.0,follow,1
44196397,1480673713179795457,5.0,follow,1
44196397,1930183861176090624,5.0,follow,1
44196397,1934562288578789376,5.0,follow,1
44196397,1853866883851620352,5.0,follow,1
44196397,954124423,5.0,follow,1
44196397,452507479,5.0,follow,1
44196397,1944251472033853442,5.0,follow,1
44196397,1930548797563973633,5.0,follow,1
44196397,1765633660588576768,5.0,follow,1
44196397,1704389888362401793,5.0,follow,1
44196397,1907884226126446592,5.0,follow,1
44196397,15190631,5.0,follow,1
44196397,14116588,5.0,follow,1
44196397,240504013,5.0,follow,1
44196397,1283902819,5.0,follow,1
44196397,1619678549585051654,5.0,follow,1
44196397,37254334,5.0,follow,1
44196397,26906309,5.0,follow,1
44196397,118629205,5.0,follow,1
44196397,1604863807574212611,5.0,follow,1
44196397,1587601034339561472,5.0,follow,1
44196397,1818311005698678784,5.0,follow,1
44196397,931286316,5.0,follow,1
44196397,1948071386418749440,5.0,follow,1
44196397,904111584930390016,5.0,follow,1
44196397,4229425167,5.0,follow,1
44196397,1342174584594960384,5.0,follow,1
44196397,3086182267,5.0,follow,1
44196397,1942146567202283520,5.0,follow,1
44196397,1867171663961362432,5.0,follow,1
44196397,230287527,5.0,follow,1
44196397,1156300264070111233,5.0,follow,1
44196397,133188015,5.0,follow,1
44196397,16642547,5.0,follow,1
44196397,2188015574,5.0,follow,1
44196397,99723374,5.0,follow,1
44196397,180910272,5.0,follow,1
44196397,1562038858988064768,5.0,follow,1
44196397,15670857,5.0,follow,1
44196397,19402238,5.0,follow,1
44196397,7369882,5.0,follow,1
44196397,1655762298022113280,5.0,follow,1
44196397,27260086,5.0,follow,1
44196397,1263491240336769026,5.0,follow,1
44196397,935819755,5.0,follow,1
44196397,934443084263448577,5.0,follow,1
44196397,1518682356332212224,5.0,follow,1
44196397,939312319258955777,5.0,follow,1
44196397,1912360507165868032,5.0,follow,1
44196397,1743487864934162432,5.0,follow,1
44196397,857959105805246464,5.0,follow,1
44196397,1667090546,5.0,follow,1
44196397,1967275506,5.0,follow,1
44196397,1941936701380956160,5.0,follow,1
44196397,922955517030408192,5.0,follow,1
44196397,2228878592,5.0,follow,1
44196397,1881058018189803520,5.0,follow,1
44196397,3163334923,5.0,follow,1
44196397,998575387067142144,5.0,follow,1
44196397,1316424400531464192,5.0,follow,1
44196397,357041259,5.0,follow,1
